帳號,座號,姓名,院系,年級,班級,Email
tkuee0787,1,張佳慧,電機工程系,四年級,A,tkuee0787@tkuim.com
tkubm9553,2,蔡文杰,企業管理系,二年級,A,tkubm9553@tkuim.com
tkupy6676,3,吳欣怡,心理學系,三年級,A,tkupy6676@tkuim.com
tkume2253,4,劉怡婷,機械工程系,四年級,B,tkume2253@tkuim.com
tkupy8394,5,黃慧珍,心理學系,四年級,A,tkupy8394@tkuim.com
tkume6194,6,林家豪,機械工程系,三年級,A,tkume6194@tkuim.com
tkubm8985,7,黃淑芬,企業管理系,四年級,B,tkubm8985@tkuim.com
tkuim0867,8,楊怡萱,資訊管理系,三年級,B,tkuim0867@tkuim.com
tkume1838,9,李瑞芳,機械工程系,三年級,C,tkume1838@tkuim.com
tkuim1646,10,林志豪,資訊管理系,二年級,B,tkuim1646@tkuim.com
tkupy7718,11,劉柏宇,心理學系,四年級,D,tkupy7718@tkuim.com
tkupy4744,12,楊冠霖,心理學系,一年級,C,tkupy4744@tkuim.com
tkuim8642,13,林俊傑,資訊管理系,二年級,C,tkuim8642@tkuim.com
tkubm4001,14,王子豪,企業管理系,四年級,B,tkubm4001@tkuim.com
tkubm5739,15,張昱廷,企業管理系,三年級,B,tkubm5739@tkuim.com
tkuim0615,16,楊惠雯,資訊管理系,三年級,D,tkuim0615@tkuim.com
tkupy5984,17,黃美玲,心理學系,三年級,A,tkupy5984@tkuim.com
tkuim6084,18,林怡君,資訊管理系,一年級,D,tkuim6084@tkuim.com
tkuee0895,19,吳建宏,電機工程系,四年級,D,tkuee0895@tkuim.com
tkume7695,20,黃孟君,機械工程系,一年級,A,tkume7695@tkuim.com
tkupy7188,21,陳佳蓉,心理學系,一年級,C,tkupy7188@tkuim.com
tkuim4185,22,李欣怡,資訊管理系,四年級,B,tkuim4185@tkuim.com
tkuim4922,23,李志豪,資訊管理系,四年級,C,tkuim4922@tkuim.com
tkupy8131,24,吳佳慧,心理學系,一年級,B,tkupy8131@tkuim.com
tkubm1141,25,陳志翔,企業管理系,三年級,C,tkubm1141@tkuim.com
tkubm9838,26,張建銘,企業管理系,四年級,D,tkubm9838@tkuim.com
tkubm8885,27,李志翔,企業管理系,一年級,C,tkubm8885@tkuim.com
tkupy4435,28,楊靜宜,心理學系,二年級,B,tkupy4435@tkuim.com
tkupy3371,29,劉孟君,心理學系,二年級,A,tkupy3371@tkuim.com
tkume9975,30,黃瑞芳,機械工程系,二年級,B,tkume9975@tkuim.com
tkupy6965,31,李世豪,心理學系,一年級,B,tkupy6965@tkuim.com
tkubm9858,32,楊怡婷,企業管理系,四年級,A,tkubm9858@tkuim.com
tkubm2777,33,林靜宜,企業管理系,四年級,C,tkubm2777@tkuim.com
tkubm1681,34,張嘉豪,企業管理系,二年級,A,tkubm1681@tkuim.com
tkubm2099,35,黃俊傑,企業管理系,一年級,B,tkubm2099@tkuim.com
tkuee4370,36,吳惠雯,電機工程系,二年級,D,tkuee4370@tkuim.com
tkume8458,37,李子豪,機械工程系,三年級,D,tkume8458@tkuim.com
tkubm2507,38,王嘉偉,企業管理系,一年級,A,tkubm2507@tkuim.com
tkubm2938,39,黃國偉,企業管理系,四年級,D,tkubm2938@tkuim.com
tkume0705,40,陳昱廷,機械工程系,四年級,B,tkume0705@tkuim.com
tkuim2648,41,黃建銘,資訊管理系,三年級,D,tkuim2648@tkuim.com
tkupy5547,42,楊柏宇,心理學系,二年級,B,tkupy5547@tkuim.com
tkupy6003,43,楊怡君,心理學系,三年級,B,tkupy6003@tkuim.com
tkume5852,44,王世豪,機械工程系,四年級,D,tkume5852@tkuim.com
tkume4395,45,蔡雅婷,機械工程系,三年級,D,tkume4395@tkuim.com
tkupy7947,46,蔡佳蓉,心理學系,二年級,A,tkupy7947@tkuim.com
tkume0708,47,吳文杰,機械工程系,一年級,B,tkume0708@tkuim.com
tkuim3149,48,李雅婷,資訊管理系,一年級,C,tkuim3149@tkuim.com
tkuim8674,49,楊冠霖,資訊管理系,三年級,D,tkuim8674@tkuim.com
tkubm1760,50,劉嘉豪,企業管理系,一年級,D,tkubm1760@tkuim.com
